NAME,ISSUE TITLE,ISSUE NUMBER,PAGE COUNT,AGE RATING,COVER DATE,ISSUE SUMMARY,CHARACTERS,PUBLISHER,WRITER(S),PENCILLER(S),INKER(S),COLORIST(S),LETTERER(S),EDITOR(S),COVER ARTIST(S),URL,COVER URL
Civil War II,All-New Wolverine,10,34,12+,7/20/2016,"CIVIL WAR II TIE-IN! Which side will WOLVERINE choose when a terrible prophecy puts someone she loves into the crosshairs of her allies? How far is LAURA willing to go to protect her loved ones? Teaming up with OLD MAN LOGAN, Laura is prepared to fight the very future itself to change her destiny.",,Marvel,Tom Taylor,Ig Guara,Ig Guara,Ig Guara,Ig Guara,,Bengal,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/All-New+Wolverine+010+(2016)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/All-New+Wolverine+010-000.jpg
Civil War II,All-New Wolverine,11,23,12+,8/17/2016,"CIVIL WAR II TIE-IN! DESTINY COMES KNOCKING FOR WOLVERINE! LAURA KINNEY has fought all her life to avoid a destiny she did not want. She has fought against instincts that would make her nothing more than a weapon to be used by others, instead becoming a hero — becoming WOLVERINE. But now, destiny intrudes again, this time threatening those dearest to her. And with a SUPER HERO CIVIL WAR tearing her world apart, is there any hope that Wolverine will emerge victorious? Or will she finally succumb to destiny?",,Marvel,Tom Taylor,Ig Guara,Ig Guara,Ig Guara,Ig Guara,,Bengal,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/All-New+Wolverine+011+(2016)+(Digital)+(BlackManta-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/All-New+Wolverine+(2015-)+011-000.jpg
Civil War II,All-New Wolverine,12,22,12+,9/21/2016,"THE ASTONISHING CONCLUSION TO OUR CIVIL WAR II TIE IN! GABBY's life hangs in the balance, with her death having been predicted to be cut short by none other than OLD MAN LOGAN. As the shocking prediction looks to be coming true, LAURA's world is torn apart. Old Man Logan might be too old to stand against the fury of the ALL-NEW WOLVERINE.",,Marvel,Tom Taylor,Ig Guara,Ig Guara,Ig Guara,Ig Guara,,Bengal,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/All-New+Wolverine+012+(2016)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/All-New+Wolverine+012-000.jpg
Civil War II,"All-New, All-Different Avengers",13,22,12+,8/10/2016,"CIVIL WAR II TIE-IN! Convinced that he has chosen the right side in the war, the Vision undertakes a manhunt through time in order to stop one of Earth's greatest evils!",,Marvel,Mark Waid,Adam Kubert,Adam Kubert,Adam Kubert,Adam Kubert,,Alex Ross,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/All-New%2C+All-Different+Avengers+013+(2016)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/All-New%2C+All-Different+Avengers+013-000.jpg
Civil War II,"All-New, All-Different Avengers",14,24,12+,9/7/2016,Spotlight on the All-New Wasp as she finds her loyalties torn by the war—and seeks guidance in the most unexpected place.,,Marvel,"Mark Waid
Jeremy Whitley",Adam Kubert,Adam Kubert,Adam Kubert,Adam Kubert,,Alex Ross,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/All-New%2C+All-Different+Avengers+014+(2016)+(3+covers)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/All-New%2C+All-Different+Avengers+014-000.jpg
Civil War II,"All-New, All-Different Avengers",15,15,12+,10/26/2016,"CIVIL WAR II TIE-IN! In her short time wielding the hammer Mjolnir, Thor has witnessed cosmic chaos — but how does her human half process the consequences of the Iron Man/Captain Marvel struggle and what it does to the Avengers?",,Marvel,Mark Waid,Adam Kubert,Adam Kubert,Adam Kubert,Adam Kubert,,Alex Ross,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/All-New%2C+All-Different+Avengers+015+(2016)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/All-New%2C+All-Different+Avengers+015-000.jpg
Civil War II,Captain America: Sam Wilson,10,22,12+,6/22/2016,"Civil War II tie-in! In a time of crisis, Sam is called upon to honor a fallen hero- and speak to a divided nation. But is anyone listening?",,Marvel,Nick Spencer,Angel Unzueta,Angel Unzueta,Angel Unzueta,Angel Unzueta,,Daniel Acuna,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Captain+America+-+Sam+Wilson+010+(2016)+(2+covers)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Captain+America+-+Sam+Wilson+010-000.jpg
Civil War II,Captain America: Sam Wilson,11,23,12+,7/6/2016,"CIVIL WAR II TIE-IN! With the battle lines forming, Sam must choose a side.",,Marvel,Nick Spencer,Daniel Acuna,Daniel Acuna,Daniel Acuna,Daniel Acuna,,Daniel Acuna,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Captain+America+-+Sam+Wilson+011+(2016)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Captain+America+-+Sam+Wilson+011-000.jpg
Civil War II,Captain America: Sam Wilson,12,23,12+,8/17/2016,CIVIL WAR II TIE-IN! Who are The Americops? #givebacktheshield is trending.,,Marvel,Nick Spencer,Daniel Acuna,Daniel Acuna,Daniel Acuna,Daniel Acuna,,Daniel Acuna,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Captain+America+-+Sam+Wilson+012+(2016)+(2+covers)+(digital)+(Mintuemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Captain+America+-+Sam+Wilson+012-000.jpg
Civil War II,Captain America: Sam Wilson,13,21,12+,9/28/2016,Captain America vs. U.S.Agent! No more waiting: #takebacktheshield,,Marvel,Nick Spencer,Daniel Acuna,Daniel Acuna,Daniel Acuna,Daniel Acuna,,Daniel Acuna,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Captain+America+-+Sam+Wilson+013+(2016)+(2+covers)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Captain+America+-+Sam+Wilson+013-000.jpg
Civil War II,Captain America: Steve Rogers,4,33,12+,8/24/2016,"CIVIL WAR II TIE-IN! With war on the horizon, Steve attempts to broker a truce between Iron Man and Captain Marvel.",,Marvel,Nick Spencer,Javier Pina,Javier Pina,Javier Pina,Javier Pina,,Aaron Kuder,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Captain+America+-+Steve+Rogers+004+(2016)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Captain+America+-+Steve+Rogers+004-000.jpg
Civil War II,Captain America: Steve Rogers,5,23,12+,9/28/2016,"CIVIL WAR II TIE-IN! As heroes choose sides and tragedy strikes, Steve takes steps to end the war. Guest-starring the Invincible Iron Man!",,Marvel,Nick Spencer,Javier Pina,Javier Pina,Javier Pina,Javier Pina,,Paul Renaud,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Captain+America+-+Steve+Rogers+005+(2016)+(2+covers)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Captain+America+-+Steve+Rogers+005-000.jpg
Civil War II,Captain America: Steve Rogers,6,23,12+,10/26/2016,"CIVIL WAR II TIE-IN! With the Marvel Universe at war, Steve fights for peace. Guest-starring Captain Marvel!",,Marvel,Nick Spencer,Javier Pina,Javier Pina,Javier Pina,Javier Pina,,Paul Renaud,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Captain+America+-+Steve+Rogers+006+(2016)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Captain+America+-+Steve+Rogers+006-000.jpg
Civil War II,Captain Marvel,6,23,12+,6/29/2016,"Civil War II tie-in! Old friends face off as enemies in an event that will change Captain Marvel's life forever. As war erupts, Carol finds herself at the forefront of battle. But after tragedy hits too close to home, how far will Carol go to fight for what she believes in? This is Captain Marvel at her finest. In her toughest fight yet.",,Marvel,"Christos N. Gage
Ruth Fletcher Gage",Kris Anka,Kris Anka,Kris Anka,Kris Anka,,Kris Anka,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Captain+Marvel+006+(2016)+(3+covers)+(digital)+(Minutemen-Slayer).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Captain+Marvel+006-000.jpg
Civil War II,Captain Marvel,7,23,12+,7/27/2016,CIVIL WAR II TIE-IN! Captain Marvel's determination reaches new heights as her rift with Iron Man gets deeper. It's a fight for the future as Carol and the Alpha Flight recruit more to their cause. But will forces outside of Captain Marvel destroy everything she's trying to protect?,,Marvel,"Christos N. Gage
Ruth Fletcher Gage",Kris Anka,Kris Anka,Kris Anka,Kris Anka,,Kris Anka,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Captain+Marvel+007+(2016)+(digital)+(Minutemen-Slayer).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Captain+Marvel+007-000.jpg
Civil War II,Captain Marvel,8,23,12+,8/24/2016,"CIVIL WAR II TIE-IN! No time for second-guessing, Captain Marvel is determined to change the future to protect the present. With wins on her side, Carol knows her mission is the right thing to do, but does everyone else? It's a Civil War II story that will change everything for Captain Marvel.",,Marvel,"Christos N. Gage
Ruth Fletcher Gage",Kris Anka,Kris Anka,Kris Anka,Kris Anka,,Kris Anka,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Captain+Marvel+008+(2016)+(digital)+(Minutemen-Slayer).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Captain+Marvel+008-000.jpg
Civil War II,Captain Marvel,9,23,12+,9/29/2016,"CIVIL WAR II TIE-IN! Captain Marvel thought she had it figured out—change the future and save lives. But as friendships turn cold, she has to decide how far she's willing to go…",,Marvel,"Christos N. Gage
Ruth Fletcher Gage",Kris Anka,Kris Anka,Kris Anka,Kris Anka,,Kris Anka,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Captain+Marvel+009+(2016)+(3+covers)+(digital)+(Minutemen-Slayer).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Captain+Marvel+009-000.jpg
Civil War II,Captain Marvel,10,26,12+,11/23/2016,CIVIL WAR II TIE-IN! The final showdown between Carol and Tony's forces. Fist meets metal in the ultimate battle for the future!,,Marvel,"Christos N. Gage
Ruth Fletcher Gage",Thony Silas,Thony Silas,Thony Silas,Thony Silas,,Kris Anka,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Captain+Marvel+010+(2017)+(Digital)+(Zone-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Captain+Marvel+(2016)+010-000.jpg
Civil War II,Civil War II (FCBD 2016),c2c,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Civil+War+II+(FCBD+2016)+(c2c)+(GreenManGroup-DCP).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Civil+War+II+(FCBD+2016)+(GreenManGroup-DCP)+001.jpg
Civil War II,Deadpool,14,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Deadpool+014+(2016)+(2+covers)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Deadpool+014-000.jpg
Civil War II,Deadpool,15,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Deadpool+015+(2016)+(2+covers)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Deadpool+015-000.jpg
Civil War II,Deadpool,16,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Deadpool+016+(2016)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Deadpool+016-000.jpg
Civil War II,Deadpool,17,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Deadpool+017+(2016)+(2+covers)+(digital)+(Mintuemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Deadpool+017-000.jpg
Civil War II,Deadpool,18,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Deadpool+018+(2016)+(3+covers)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Deadpool+018-000.jpg
Civil War II,Guardians of the Galaxy,11,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Guardians+of+the+Galaxy+011+(2016)+(2+covers)+(digital)+(Minutemen-Slayer).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Guardians+of+the+Galaxy+011-000.jpg
Civil War II,Guardians of the Galaxy,12,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Guardians+of+the+Galaxy+012+(2016)+(digital)+(Minutemen-Slayer).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Guardians+of+the+Galaxy+012-000.jpg
Civil War II,Guardians of the Galaxy,13,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Guardians+of+the+Galaxy+013+(2016)+(digital)+(Minutemen-Slayer).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Guardians+of+the+Galaxy+013-000.jpg
Civil War II,International Iron Man,4,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/International+Iron+Man+004+(2016)+(digital)+(Minutemen-Thoth).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/International+Iron+Man+(2016-)+004-000.jpg
Civil War II,Invincible Iron Man,12,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Invincible+Iron+Man+012+(2016)+(2+covers)+(digital)+(Minutemen-Thoth).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Invincible+Iron+Man+(2015-)+012-000.jpg
Civil War II,Invincible Iron Man,13,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Invincible+Iron+Man+013+(2016)+(3+covers)+(digital)+(Minutemen-Thoth).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Invincible+Iron+Man+(2015-)+013-000.jpg
Civil War II,Invincible Iron Man,14,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Invincible+Iron+Man+014+(2016)+(digital)+(Minutemen-Thoth).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Invincible+Iron+Man+(2015-)+014-000.jpg
Civil War II,New Avengers,12,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/New+Avengers+012+(2016)+(3+covers)+(digital)+(Minutemen-Midas).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/New+Avengers+012-000a.jpg
Civil War II,New Avengers,15,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/New+Avengers+015+(2016)+(digital)+(Minutemen-Midas).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/New+Avengers+015-000.jpg
Civil War II,New Avengers,16,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/New+Avengers+016+(2016)+(digital)+(Minutemen-Midas).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/New+Avengers+016-000.jpg
Civil War II,Nova,8,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Nova+008+(2016)+(2+covers)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Nova+008-000.jpg
Civil War II,Nova,9,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Nova+009+(2016)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Nova+009-000.jpg
Civil War II,Patsy Walker - A.K.A. Hellcat!,8,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Patsy+Walker+-+A.K.A.+Hellcat!+008+(2016)+(Digital)+(Zone-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Patsy+Walker%2C+A.K.A.+Hellcat!+(2015-)+008-000.jpg
Civil War II,Power Man and Iron Fist,6,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Power+Man+and+Iron+Fist+006+(2016)+(2+covers)+(digital)+(Minutemen-Midas).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Power+Man+and+Iron+Fist+006-000a.jpg
Civil War II,Power Man and Iron Fist,8,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Power+Man+and+Iron+Fist+008+(2016)+(2+covers)+(digital)+(Minutemen-Midas).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Power+Man+and+Iron+Fist+008-000a.jpg
Civil War II,Power Man and Iron Fist,9,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Power+Man+and+Iron+Fist+009+(2016)+(Digital)+(BlackManta-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Power+Man+and+Iron+Fist+009-000.jpg
Civil War II,Rocket Raccoon & Groot,8,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Rocket+Raccoon+%26+Groot+008+(2016)+(2+covers)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Rocket+Raccoon+%26+Groot+008-000.jpg
Civil War II,Rocket Raccoon & Groot,9,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Rocket+Raccoon+%26+Groot+009+(2016)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Rocket+Raccoon+%26+Groot+009-000.jpg
Civil War II,Rocket Raccoon & Groot,10,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Rocket+Raccoon+%26+Groot+010+(2016)+(digital)+(Minutemen-Faessla).cbz,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Rocket+Raccoon+%26+Groot+010-000.jpg
Civil War II,Scarlet Witch,9,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Scarlet+Witch+009+(2016)+(digital)+(Minutemen-Slayer).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Scarlet+Witch+009-000.jpg
Civil War II,Spider-Man 2099,13,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Spider-Man+2099+013+(2016)+(digital)+(Minutemen-Midas).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Spider-Man+2099+013-000.jpg
Civil War II,Spider-Man 2099,14,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Spider-Man+2099+014+(2016)+(digital)+(Minutemen-Midas).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Spider-Man+2099+014-000.jpg
Civil War II,Spider-Man 2099,15,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Spider-Man+2099+015+(2016)+(digital)+(Minutemen-Midas).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Spider-Man+2099+015-000.jpg
Civil War II,Spider-Man 2099,16,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Spider-Man+2099+016+(2016)+(digital)+(Minutemen-Midas).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Spider-Man+2099+016-000.jpg
Civil War II,Spider-Woman,9,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Spider-Woman+009+(2016)+(Digital)+(Zone-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Spider-Woman+(2015-)+009-000.jpg
Civil War II,Spider-Woman,10,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Spider-Woman+010+(2016)+(Digital)+(Zone-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Spider-Woman+(2015-)+010-000.jpg
Civil War II,Spider-Woman,11,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Spider-Woman+011+(2016)+(Digital)+(Zone-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Spider-Woman+(2015-)+011-000.jpg
Civil War II,Squadron Supreme,9,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Squadron+Supreme+009+(2016)+(3+covers)+(digital)+(Minutemen-Slayer).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Squadron+Supreme+009-000.jpg
Civil War II,Squadron Supreme,10,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Squadron+Supreme+010+(2016)+(digital)+(Minutemen-Slayer).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Squadron+Supreme+010-000.jpg
Civil War II,Squadron Supreme,11,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Squadron+Supreme+011+(2016)+(digital)+(Minutemen-Slayer).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Squadron+Supreme+011-000.jpg
Civil War II,Squadron Supreme,12,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Squadron+Supreme+012+(2016)+(digital)+(Minutemen-Slayer).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Squadron+Supreme+012-000.jpg
Civil War II,The Accused,1,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/The+Accused+01+(2016)+(digital)+(Minutemen-Slayer).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/The+Accused+(2016)+001-000.jpg
Civil War II,The Fallen,1,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/The+Fallen+01+(2016)+(4+covers)+(digital)+(Minutemen-Slayer).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/The+Fallen+(2016)+001-000.jpg
Civil War II,The Totally Awesome Hulk,7,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/The+Totally+Awesome+Hulk+007+(2016)+(2+covers)+(digital)+(Minutemen-Midas).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/The+Totally+Awesome+Hulk+007-000a.jpg
Civil War II,The Totally Awesome Hulk,8,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/The+Totally+Awesome+Hulk+008+(2016)+(digital)+(Minutemen-Midas).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/The+Totally+Awesome+Hulk+008-000.jpg
Civil War II,The Totally Awesome Hulk,9,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/The+Totally+Awesome+Hulk+009+(2016)+(digital)+(Minutemen-Midas).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/The+Totally+Awesome+Hulk+009-000.jpg
Civil War II,The Totally Awesome Hulk,10,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/The+Totally+Awesome+Hulk+010+(2016)+(2+covers)+(digital)+(Minutemen-Midas).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/The+Totally+Awesome+Hulk+010-000a.jpg
Civil War II,The Totally Awesome Hulk,11,,12+,,,,Marvel,,,,,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/The+Totally+Awesome+Hulk+011+(2016)+(digital)+(Minutemen-Midas).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/The+Totally+Awesome+Hulk+011-000.jpg
