External ID,Title,Description,Synopsis,Series Name,Season Number,Episode Number,Keywords,Categories,Release Date,Video Filename,Artwork Filename,Series Artwork Filename,Closed Caption Filename,Genre Value,Rating Value,Entry Type,Duration
,The Chase: the animated movie,Chuck Scott gets a job as chauffeur to tough guy Eddie Roman; but Chuck's involvement with Eddie's fearful wife becomes a nightmare.,Chuck Scott gets a job as chauffeur to tough guy Eddie Roman; but Chuck's involvement with Eddie's fearful wife becomes a nightmare.,,,,Chase,"Animated, Crime, Thriller",2023/03/06,https://player.castr.com/vod/qam6q5x4gLyRcOod,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/The-Chase_title-img.png,,,"Animated, Crime, Thriller",,,
,Love Affair: the animated movie,A French playboy and an American former nightclub singer fall in love aboard a ship.,A French playboy and an American former nightclub singer fall in love aboard a ship.,,,,Love Affair,"Animated, Romance",2023/03/06,https://player.castr.com/vod/bgWMuJgMYfIcnGwZ,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/Love-Affair_title-image.png,,,"Animated, Romance",,,
,Captain Scarlett: the animated movie,"Captain Scarlett returns from gallivanting around the country-side after the Napoleonic wars and finds life in southern France very different. He saves a beautiful princess from an arranged marriage to an evil count, protects many of the people from being persecuted by the Duke of Corlais, and eventually rids the country of the scourge of Corlais' power.",Captain Scarlett saves a beautiful Princess from an arranged marriage.,,,,Captain Scarlett,"Animated, Adventure, Romance",2023/03/06,https://player.castr.com/vod/a5nQf1iZHaaVQ0r3,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/Captain-Scarlett_title-img.png,,,"Animated, Adventure, Romance",,,
,Charade: the animated movie,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,,,,Charade,"Animated, Mystery, Romance",2023/03/06,https://player.castr.com/vod/4ukEb4e3TW0NaWPo,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/CHARADE-titleImg-noLogo.jpg,,,"Animated, Mystery, Romance",,,
,The Man with the Golden Arm: the animated movie,A junkie must face his true self to kick his drug addiction.,A junkie must face his true self to kick his drug addiction.,,,,Golden Arm,"Animated, Thriller, ",2023/03/06,https://player.castr.com/vod/30nc5s8NG3TI150E,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/Man-with-the-Golden-Arm-Title-Img.png,,,"Animated, Thriller, ",,,
,Mutiny: the animated movie,"During the War of 1812, the U.S. tasks Captain James Marshall to sail through the British blockade and bring back a French loan in gold but the secret leaks out and many greedy hands, including the mutinous crew's, are after the gold.","During the War of 1812, the U.S. tasks Captain James Marshall to sail through the British blockade and bring back a French loan in gold",,,,Mutiny,"Animated, Adventure, Action",2023/03/06,https://player.castr.com/vod/ahqCdTD2HrqFAQaI,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/Mutiny_title-img.png,,,"Animated, Adventure, Action",,,
,Kansas City Confidential: the animated movie,An ex-con trying to go straight is framed for a million dollar armored car robbery and must go to Mexico in order to unmask the real culprits.,An ex-con trying to go straight is framed for a million dollar armored car robbery and must go to Mexico in order to unmask the real culprits.,,,,KC Confidential,"Animated, Thriller, Crime",2023/03/06,https://player.castr.com/vod/7ZbMppTUP2UM7nNA,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/KC-Confidential_title-img.png,,,"Animated, Thriller, Crime",,,
,Woman on the Run: the animated movie,"Frank Johnson becomes an eyewitness to a murder. He's pursued around San Francisco by his wife, the police, and the killer.","Frank Johnson becomes an eyewitness to a murder. He's pursued around San Francisco by his wife, the police, and the killer.",,,,Woman on the Run,"Animated, Action",2023/03/06,https://player.castr.com/vod/Kt4DxCOS3SQivZDg,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/Woman-on-the-Run_title-img.png,,,"Animated, Action",,,
,House on Haunted Hill: the animated movie,"A millionaire offers $10,000 to five people who agree to be locked in a large, spooky, rented house overnight with him and his wife.","A millionaire offers $10,000 to five people who agree to be locked in a large, spooky, rented house overnight with him and his wife.",,,,Haunted House,"Animated, Horror",2023/03/06,https://player.castr.com/vod/Szlpw2UlW4nzJShX,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/House-on-Haunted-Hill_title-img.png,,,"Animated, Horror",,,
,,,,,,,,,,,,,,,,,
