Name,Description
Adventure,
Crime,
Fantasy,
Horror,
Humor,
Jungle,
Superhero,
Romance,
Sci-fi,
War,
Western,
Sports,
Religious,
Spy,
School,
History,
Mystery,
Detective,
Aviation,
Automobile,
Boats,
LGBTQ,
BLM,
Monsters,
Child,
Women,
Asian,
African,
LatinX,
Finance,
Social,
Civic,
Medical,
Travel,
Supernatural,
Music,
Dance,
Food,
Erotic,
Political,
Animal,
Teen,
Martial Arts,
Pirates,
Dinosaur,
Gothic,
Vampire,
Nature,
Water,
Atomic,
